image_id,Male,Eyeglasses
000533.png,-1,-1
000534.png,1,-1
000535.png,1,-1
000536.png,1,-1
000537.png,1,-1
000538.png,-1,-1
000539.png,-1,-1
000540.png,-1,-1
000541.png,-1,-1
000542.png,1,-1
000543.png,1,-1
000544.png,-1,-1
000545.png,1,-1
000546.png,1,-1
000547.png,-1,-1
000548.png,-1,-1
000549.png,-1,-1
000550.png,-1,-1
000551.png,-1,-1
000552.png,1,-1
000553.png,-1,-1
000554.png,-1,-1
000555.png,1,-1
000556.png,-1,-1
000558.png,1,-1
000559.png,1,-1
000560.png,1,-1
000561.png,1,-1
000562.png,-1,-1
000563.png,1,-1
000564.png,1,-1
000565.png,-1,-1
000566.png,-1,-1
000567.png,-1,-1
000568.png,-1,-1
000569.png,1,-1
000570.png,-1,-1
000571.png,1,-1
000572.png,1,-1
000574.png,-1,-1
000575.png,1,1
000576.png,-1,-1
000577.png,1,-1
000578.png,1,-1
000579.png,-1,-1
000580.png,-1,-1
000582.png,-1,-1
000583.png,1,-1
000584.png,1,-1
000585.png,1,-1
000586.png,1,-1
000587.png,1,-1
000588.png,-1,-1
000589.png,-1,-1
000590.png,1,-1
000591.png,1,-1
000592.png,1,-1
000593.png,1,-1
000594.png,-1,-1
000595.png,-1,-1
000596.png,1,-1
000597.png,-1,-1
000598.png,-1,-1
000599.png,-1,-1
000600.png,-1,-1
000601.png,-1,-1
000602.png,-1,-1
000604.png,1,-1
000605.png,-1,-1
000606.png,-1,-1
000607.png,-1,-1
000608.png,1,1
000609.png,-1,-1
000610.png,-1,-1
000611.png,-1,-1
000612.png,-1,-1
000613.png,-1,-1
000614.png,-1,-1
000615.png,-1,-1
000616.png,-1,-1
000617.png,1,-1
000618.png,-1,-1
000619.png,1,1
000620.png,1,-1
000621.png,-1,-1
000622.png,1,-1
000623.png,1,-1
000625.png,1,-1
000626.png,-1,-1
000628.png,1,1
000629.png,1,-1
000630.png,1,-1
000631.png,-1,-1
000632.png,-1,-1
000633.png,-1,-1
000634.png,-1,-1
000635.png,-1,-1
000636.png,1,-1
000637.png,1,-1
000638.png,-1,-1
000639.png,1,-1
000640.png,-1,-1
000641.png,-1,-1
000642.png,-1,-1
000643.png,-1,-1
000644.png,-1,-1
000645.png,-1,-1
000646.png,-1,1
000647.png,-1,-1
000648.png,-1,-1
000649.png,1,-1
000650.png,-1,-1
000651.png,1,-1
000652.png,1,-1
000653.png,-1,-1
000654.png,1,-1
000655.png,1,-1
000656.png,-1,-1
000657.png,1,-1
000658.png,-1,-1
000659.png,1,-1
000660.png,1,-1
000661.png,1,-1
000662.png,1,-1
000663.png,-1,-1
000664.png,-1,-1
000665.png,-1,-1
000666.png,-1,-1
000667.png,-1,-1
000668.png,-1,-1
000669.png,-1,-1
000670.png,1,-1
000671.png,1,-1
000672.png,1,-1
000673.png,-1,1
000674.png,1,-1
000675.png,1,1
000676.png,-1,1
000677.png,1,-1
000678.png,-1,-1
000679.png,-1,-1
000680.png,-1,-1
000681.png,1,-1
000682.png,1,-1
000683.png,1,1
000684.png,1,-1
000685.png,1,-1
000686.png,1,-1
000687.png,1,1
000688.png,1,-1
000689.png,1,-1
000690.png,1,-1
000691.png,-1,-1
000692.png,-1,-1
000693.png,-1,-1
000694.png,-1,-1
000695.png,1,-1
000696.png,1,-1
000697.png,1,-1
000698.png,-1,-1
000699.png,-1,-1
000700.png,1,-1
000701.png,-1,-1
000702.png,-1,-1
000703.png,-1,-1
000704.png,-1,-1
000705.png,1,1
000706.png,1,-1
000707.png,-1,-1
000708.png,-1,-1
000709.png,-1,-1
000710.png,1,1
000711.png,-1,-1
000712.png,1,-1
000713.png,1,-1
000714.png,1,-1
000715.png,-1,-1
000716.png,-1,-1
000717.png,-1,-1
000718.png,-1,-1
000719.png,-1,-1
000720.png,1,1
000721.png,-1,-1
000722.png,-1,-1
000723.png,1,-1
000724.png,1,-1
000725.png,-1,-1
000726.png,-1,1
000727.png,-1,-1
000728.png,1,-1
000729.png,1,-1
000730.png,1,-1
000731.png,1,-1
000732.png,1,-1
000733.png,1,-1
000734.png,-1,-1
000735.png,1,-1
000736.png,-1,-1
000737.png,-1,-1
000738.png,-1,-1
000739.png,1,-1
000740.png,-1,-1
000741.png,-1,-1
000742.png,-1,-1
000743.png,-1,-1
000744.png,1,-1
000745.png,1,-1
000746.png,-1,-1
000747.png,1,-1
000748.png,-1,-1
000749.png,-1,-1
000750.png,-1,-1
000751.png,-1,-1
000752.png,-1,-1
000753.png,1,-1
000754.png,-1,-1
000755.png,1,-1
000756.png,1,-1
000757.png,1,-1
000758.png,-1,-1
000759.png,-1,-1
000760.png,-1,1
000761.png,-1,-1
000762.png,-1,-1
000763.png,-1,-1
000764.png,-1,-1
000765.png,-1,-1
000766.png,-1,-1
000767.png,-1,-1
000768.png,1,-1
000769.png,-1,-1
000770.png,-1,-1
000771.png,1,-1
000772.png,-1,-1
000773.png,1,-1
000774.png,-1,-1
000775.png,1,-1
000776.png,-1,-1
000777.png,-1,-1
000778.png,1,1
000779.png,1,-1
000780.png,1,-1
000781.png,-1,-1
000782.png,-1,-1
000783.png,-1,-1
000784.png,1,-1
000785.png,-1,-1
000786.png,-1,-1
000787.png,-1,-1
000788.png,1,1
000789.png,1,-1
000790.png,1,-1
000791.png,1,-1
000792.png,-1,-1
000793.png,-1,-1
000794.png,-1,-1
000795.png,-1,-1
000796.png,-1,-1
000797.png,1,-1
000798.png,1,1
000799.png,-1,-1
000800.png,-1,-1
000801.png,1,-1
000802.png,-1,-1
000803.png,1,-1
000804.png,-1,-1
000805.png,-1,-1
000806.png,-1,-1
000808.png,1,-1
000809.png,-1,-1
000810.png,-1,-1
000811.png,-1,-1
000812.png,-1,-1
000813.png,1,-1
000814.png,-1,-1
000815.png,1,1
000816.png,1,-1
000817.png,-1,-1
000818.png,1,-1
000819.png,-1,-1
000820.png,-1,-1
000821.png,-1,-1
000822.png,-1,-1
000823.png,-1,-1
000824.png,-1,-1
000825.png,1,-1
000826.png,1,-1
000827.png,-1,-1
000828.png,-1,-1
000829.png,1,-1
000830.png,1,-1
000831.png,-1,-1
000832.png,-1,-1
000833.png,1,-1
000834.png,-1,-1
000835.png,-1,-1
000836.png,1,-1
000837.png,-1,-1
000838.png,1,-1
000839.png,-1,-1
000840.png,-1,-1
000841.png,1,-1
000842.png,1,-1
000843.png,1,-1
000844.png,1,-1
000845.png,1,-1
000846.png,1,-1
000847.png,-1,-1
000848.png,1,-1
000849.png,-1,-1
000850.png,1,-1
000851.png,1,-1
000852.png,-1,-1
000853.png,1,-1
000854.png,-1,-1
000855.png,1,-1
000856.png,-1,-1
000857.png,-1,-1
000858.png,1,-1
000859.png,1,-1
000860.png,1,-1
000861.png,1,-1
000862.png,-1,-1
000863.png,-1,-1
000864.png,-1,-1
000865.png,-1,-1
000866.png,-1,-1
000867.png,-1,-1
000868.png,-1,-1
000869.png,-1,-1
000870.png,-1,-1
000871.png,-1,-1
000872.png,-1,-1
000873.png,1,-1
000874.png,-1,-1
000875.png,1,-1
000876.png,-1,-1
000877.png,-1,-1
000878.png,-1,-1
000879.png,1,-1
000880.png,-1,-1
000883.png,-1,-1
000884.png,-1,-1
000885.png,1,-1
000886.png,1,-1
000887.png,-1,-1
000889.png,1,-1
000890.png,-1,-1
000891.png,-1,-1
000892.png,1,-1
000893.png,-1,-1
000894.png,-1,-1
000895.png,-1,-1
000896.png,-1,-1
000897.png,-1,-1
000898.png,1,-1
000899.png,-1,-1
000900.png,-1,-1
000901.png,-1,-1
000902.png,1,1
000903.png,1,-1
000904.png,1,1
000905.png,1,-1
000906.png,1,-1
000907.png,1,1
000908.png,1,-1
000909.png,-1,-1
000910.png,-1,-1
000911.png,1,1
000912.png,-1,-1
000913.png,1,-1
000914.png,-1,-1
000915.png,1,-1
000916.png,-1,-1
000917.png,-1,-1
000918.png,-1,-1
000919.png,-1,-1
000920.png,-1,-1
000921.png,-1,-1
000922.png,-1,-1
000923.png,1,-1
000924.png,-1,-1
000925.png,-1,-1
000926.png,1,1
000927.png,-1,-1
000928.png,1,-1
000929.png,-1,-1
000930.png,1,1
000931.png,1,-1
000932.png,-1,-1
000933.png,1,-1
000934.png,-1,-1
000935.png,1,1
000936.png,-1,-1
000937.png,-1,-1
000938.png,1,1
000939.png,-1,-1
000940.png,-1,-1
000941.png,-1,-1
000942.png,-1,-1
000943.png,-1,-1
000944.png,1,1
000945.png,-1,-1
000946.png,1,-1
000947.png,-1,-1
000948.png,-1,-1
000950.png,-1,-1
000951.png,1,1
000952.png,-1,-1
000953.png,1,-1
000954.png,1,-1
000955.png,-1,-1
000956.png,-1,-1
000957.png,1,-1
000958.png,1,1
000959.png,1,-1
000960.png,1,-1
000961.png,-1,-1
000962.png,1,-1
000963.png,-1,-1
000964.png,1,-1
000965.png,-1,-1
000966.png,1,-1
000967.png,-1,-1
000968.png,-1,-1
000969.png,1,-1
000970.png,-1,-1
000971.png,1,-1
000972.png,1,-1
000973.png,1,-1
000974.png,-1,-1
000975.png,1,-1
000976.png,-1,-1
000977.png,1,-1
000978.png,1,-1
000979.png,1,-1
000980.png,-1,-1
000981.png,-1,-1
000982.png,-1,-1
000983.png,1,-1
000984.png,-1,-1
000985.png,-1,-1
000986.png,-1,-1
000987.png,1,-1
000988.png,-1,-1
000989.png,-1,-1
000990.png,1,-1
000991.png,-1,-1
000992.png,1,-1
000993.png,1,-1
000994.png,1,-1
000995.png,-1,-1
000996.png,-1,-1
000997.png,-1,-1
000998.png,-1,-1
000999.png,1,-1
001000.png,-1,-1
001001.png,-1,-1
001002.png,-1,-1
001003.png,-1,-1
001004.png,-1,-1
001005.png,-1,-1
001006.png,1,-1
001007.png,-1,-1
001008.png,1,-1
001009.png,-1,-1
001010.png,-1,-1
001011.png,-1,-1
001012.png,-1,-1
001013.png,-1,-1
001014.png,-1,-1
001015.png,-1,-1
001017.png,-1,-1
001018.png,-1,-1
001019.png,-1,-1
001020.png,1,-1
001021.png,-1,-1
001022.png,1,-1
001023.png,-1,-1
001024.png,-1,-1
001025.png,-1,-1
001026.png,-1,-1
001027.png,1,-1
001028.png,-1,1
001029.png,-1,-1
001030.png,1,-1
001031.png,-1,-1
001032.png,1,-1
001033.png,1,1
001034.png,-1,-1
001035.png,1,-1
001036.png,1,-1
001037.png,-1,-1
001038.png,1,-1
001039.png,-1,-1
001040.png,-1,-1
001041.png,-1,-1
001042.png,-1,-1
001043.png,-1,-1
001044.png,1,-1
001045.png,-1,-1
001047.png,1,-1
001048.png,1,-1
001049.png,-1,-1
001050.png,-1,-1
001051.png,1,-1
001052.png,1,1
001053.png,1,-1
001055.png,1,-1
001056.png,-1,-1
001057.png,1,-1
001058.png,-1,-1
001059.png,1,-1
001060.png,-1,-1
001061.png,-1,-1
001062.png,-1,-1
001063.png,1,1
001064.png,-1,-1
001065.png,1,-1
001066.png,1,-1
001067.png,-1,-1
001068.png,-1,-1
001069.png,-1,-1
001070.png,-1,-1
001071.png,-1,-1
001072.png,1,-1
001073.png,-1,-1
001074.png,1,-1
001075.png,-1,-1
001076.png,-1,-1
001077.png,-1,-1
001078.png,-1,-1
001079.png,1,-1
001080.png,-1,-1
001081.png,-1,-1
001082.png,-1,-1
001083.png,-1,-1
001084.png,-1,-1
001085.png,-1,-1
001086.png,-1,-1
001087.png,-1,-1
001088.png,-1,-1
001089.png,1,-1
001090.png,-1,-1
001091.png,-1,-1
001092.png,1,-1
001093.png,-1,-1
001094.png,1,-1
001095.png,1,-1
001096.png,1,1
001097.png,-1,-1
001098.png,-1,-1
001099.png,1,-1
001100.png,1,-1
001101.png,1,1
001102.png,-1,-1
001103.png,-1,-1
001104.png,1,-1
001105.png,1,-1
001106.png,1,-1
001107.png,-1,-1
001108.png,-1,-1
001109.png,1,1
001111.png,-1,-1
001112.png,-1,-1
001113.png,-1,-1
001114.png,-1,-1
001115.png,-1,-1
001116.png,-1,-1
001117.png,1,-1
001118.png,-1,-1
001119.png,-1,-1
001121.png,-1,-1
001122.png,-1,-1
001123.png,1,-1
001124.png,-1,-1
001125.png,-1,-1
001126.png,-1,-1
001127.png,1,-1
001128.png,-1,-1
001129.png,-1,-1
001130.png,-1,-1
001131.png,-1,-1
001132.png,-1,-1
001133.png,-1,-1
001134.png,-1,-1
001135.png,-1,-1
001136.png,1,-1
001137.png,1,-1
001138.png,-1,-1
001139.png,1,-1
001140.png,1,-1
001141.png,-1,-1
001142.png,-1,-1
001143.png,1,-1
001144.png,-1,-1
001145.png,-1,-1
001146.png,-1,-1
001147.png,1,-1
001148.png,-1,-1
001149.png,1,-1
001150.png,-1,-1
001151.png,-1,-1
001152.png,-1,-1
001153.png,-1,-1
001155.png,-1,-1
001156.png,-1,-1
001157.png,-1,-1
001158.png,-1,-1
001159.png,-1,-1
001160.png,1,-1
001161.png,1,-1
001162.png,1,-1
001164.png,1,-1
001165.png,-1,-1
001166.png,1,1
001167.png,-1,-1
001168.png,1,-1
001169.png,1,-1
001170.png,1,-1
001171.png,1,-1
001172.png,-1,-1
001173.png,1,-1
001174.png,-1,-1
001175.png,-1,-1
001176.png,-1,-1
001177.png,1,-1
001178.png,-1,-1
001179.png,-1,-1
001180.png,1,-1
001181.png,-1,-1
001182.png,1,-1
001183.png,-1,-1
001185.png,1,-1
001186.png,-1,-1
001187.png,1,1
001188.png,-1,-1
001189.png,1,-1
001190.png,1,-1
001191.png,-1,-1
001192.png,1,-1
001193.png,1,-1
001194.png,-1,1
001195.png,-1,-1
001196.png,1,-1
001197.png,1,-1
001198.png,-1,-1
001199.png,1,-1
001200.png,-1,-1
001201.png,1,-1
001202.png,-1,-1
001203.png,-1,-1
001204.png,1,-1
001205.png,-1,-1
001206.png,1,-1
001207.png,1,-1
001208.png,1,-1
001209.png,1,-1
001210.png,1,-1
001211.png,-1,-1
001212.png,-1,-1
001213.png,1,-1
001214.png,-1,-1
001215.png,1,1
001216.png,1,-1
001217.png,1,-1
001218.png,-1,-1
001219.png,-1,-1
001220.png,1,-1
001221.png,-1,-1
001222.png,1,-1
001223.png,-1,-1
001224.png,1,1
001225.png,1,-1
001226.png,-1,-1
001227.png,-1,-1
001228.png,1,-1
001229.png,1,-1
001230.png,1,-1
001231.png,1,-1
001232.png,-1,-1
001233.png,-1,-1
001234.png,-1,-1
001235.png,-1,-1
001236.png,-1,-1
001237.png,1,-1
001238.png,-1,-1
001239.png,1,-1
001240.png,1,-1
001241.png,1,1
001242.png,1,-1
001243.png,1,-1
001244.png,-1,-1
001245.png,1,-1
001246.png,-1,-1
001247.png,1,-1
001248.png,-1,-1
001249.png,-1,-1
001250.png,1,-1
001251.png,-1,-1
001252.png,1,-1
001253.png,1,-1
001254.png,-1,-1
001256.png,1,-1
001257.png,1,-1
001258.png,1,-1
001259.png,1,-1
001260.png,1,-1
001261.png,-1,-1
001262.png,-1,-1
001263.png,1,-1
001264.png,1,-1
001265.png,-1,-1
001266.png,1,-1
001267.png,-1,-1
001268.png,-1,-1
001269.png,-1,-1
001270.png,1,-1
001271.png,-1,-1
001272.png,1,-1
001273.png,1,-1
001274.png,-1,-1
001275.png,1,-1
001276.png,1,-1
001277.png,-1,-1
001278.png,-1,-1
001279.png,1,-1
001280.png,-1,-1
001281.png,1,-1
001282.png,-1,-1
001283.png,1,-1
001284.png,-1,-1
001285.png,-1,-1
001287.png,-1,-1
001288.png,1,-1
001289.png,-1,-1
001290.png,1,-1
001291.png,1,-1
001292.png,-1,-1
001293.png,-1,-1
001294.png,-1,-1
001295.png,-1,-1
001296.png,-1,-1
001297.png,-1,-1
001299.png,1,-1
001300.png,-1,-1
001301.png,-1,-1
001302.png,1,-1
001303.png,-1,1
001304.png,-1,-1
001305.png,-1,-1
001307.png,-1,-1
001308.png,1,-1
001309.png,1,-1
001310.png,1,-1
001311.png,-1,-1
001312.png,-1,-1
001313.png,-1,-1
001314.png,1,-1
001315.png,-1,-1
001316.png,1,-1
001317.png,-1,-1
001318.png,-1,-1
001319.png,-1,-1
001320.png,-1,-1
001321.png,-1,-1
001322.png,1,-1
001323.png,-1,-1
001324.png,1,-1
001325.png,1,1
001326.png,-1,-1
001327.png,1,-1
001328.png,-1,-1
001329.png,-1,-1
001330.png,-1,-1
001331.png,-1,-1
001332.png,-1,-1
001333.png,-1,-1
001334.png,-1,-1
001335.png,1,-1
001336.png,-1,-1
001337.png,1,-1
001339.png,1,-1
001340.png,1,-1
001341.png,-1,-1
001342.png,1,-1
001343.png,1,-1
001345.png,1,-1
001346.png,-1,-1
001347.png,-1,-1
001348.png,-1,-1
001349.png,-1,-1
001350.png,-1,-1
001351.png,1,1
001352.png,1,1
001353.png,-1,-1
001354.png,1,-1
001355.png,-1,-1
001356.png,1,-1
001357.png,1,-1
001358.png,1,-1
001359.png,-1,-1
001360.png,-1,-1
001361.png,-1,-1
001362.png,-1,-1
001363.png,-1,-1
001364.png,-1,-1
001365.png,-1,-1
001366.png,-1,-1
001367.png,-1,-1
001368.png,1,-1
001369.png,1,-1
001370.png,1,-1
001371.png,-1,-1
001372.png,1,-1
001373.png,-1,-1
001374.png,-1,-1
001375.png,-1,-1
001376.png,-1,-1
